stn;time;uto200s0;gre000z0;tre200s0;ure200s0;fkl010z0;fve010z0
THU;2.02405E+11;6.9;193;11.7;66.3;1.2;1
THU;2.02405E+11;7;138;11.7;67.1;0.3;0.3
THU;2.02405E+11;6.8;131;11.4;66.4;1.2;1.2
THU;2.02405E+11;6.9;123;11.5;67.2;1.1;1.1
THU;2.02405E+11;7.4;127;11.3;72.5;2.2;2.2
THU;2.02405E+11;7.5;133;11;74.9;2.9;2.9
THU;2.02405E+11;7.6;155;10.8;76.8;3.1;3.1
THU;2.02405E+11;8.1;163;10.7;82.2;2.5;2.5
THU;2.02405E+11;8.1;157;10.9;81.4;2.1;2.1
THU;2.02405E+11;7.5;131;11.1;75.1;2;2
THU;2.02405E+11;7.5;108;11.3;73.9;2;2
THU;2.02405E+11;7.4;88;11.3;72.2;2;2
THU;2.02405E+11;7.3;62;11.2;71.9;2.1;2.1
THU;2.02405E+11;7.5;47;11.1;74.6;1.8;1.8
THU;2.02405E+11;7.5;57;11;75.6;1.5;1.5
THU;2.02405E+11;7.5;62;11;75.3;1.3;1.2
THU;2.02405E+11;7.5;62;10.8;75.8;2.4;2.4
THU;2.02405E+11;7.2;57;10.2;75.8;2.9;2.9
THU;2.02405E+11;7.7;41;9.6;84.5;1.8;1.7
THU;2.02405E+11;8;35;9.3;88.6;1.2;1.1
THU;2.02405E+11;8.3;30;9.2;92.8;1;1
THU;2.02405E+11;8.4;30;9.1;94.5;1.7;1.7
THU;2.02405E+11;8.6;37;9.1;97;1.4;1.4
THU;2.02405E+11;8.8;36;9.1;98.7;1.4;1.4
THU;2.02405E+11;8.6;43;9.4;94.8;2.4;2.3
THU;2.02405E+11;7.7;45;9.5;84.1;3;3
THU;2.02405E+11;7.1;36;9.4;78.7;3.4;3.4
THU;2.02405E+11;7.1;27;9.1;79.8;4.5;4.5
THU;2.02405E+11;7.4;21;8.9;83.9;3.5;3.4
THU;2.02405E+11;7.7;15;8.5;90.5;2;1.8
THU;2.02405E+11;7.8;11;8.5;91.3;2.4;2.4
THU;2.02405E+11;8.2;13;8.7;95.4;2.7;2.7
THU;2.02405E+11;8.4;15;8.7;97.1;2.1;2.1
THU;2.02405E+11;8.4;11;8.4;98.8;2.6;2.6
THU;2.02405E+11;8.4;8;8.4;99.2;2.6;2.6
THU;2.02405E+11;8.4;8;8.3;99.2;2.2;2.1
THU;2.02405E+11;8.4;6;8.3;99.2;1.9;1.9
THU;2.02405E+11;8.3;2;8.2;99.2;1.9;1.9
THU;2.02405E+11;8.2;0;8.1;99.2;1.9;1.9
THU;2.02405E+11;8.2;0;8;98.9;2.6;2.6
THU;2.02405E+11;8.1;0;7.9;98.2;2.9;2.9
THU;2.02405E+11;7.9;0;7.8;97.6;2.5;2.5
THU;2.02405E+11;7.8;0;7.6;96.9;2.9;2.9
THU;2.02405E+11;7.6;0;7.5;95.2;2.7;2.7
THU;2.02405E+11;7.6;0;7.5;95;2.6;2.6
THU;2.02405E+11;7.6;0;7.3;95.4;1.9;1.9
THU;2.02405E+11;7.6;0;7.3;95.9;1.5;1.4
THU;2.02405E+11;7.7;0;7.6;96.1;2.7;2.6
THU;2.02405E+11;7.8;0;7.4;98;2;1.8
THU;2.02405E+11;7.8;0;7.4;98.2;2.6;2.5
THU;2.02405E+11;7.7;0;7.1;98.8;1.7;1.4
THU;2.02405E+11;7.6;0;6.9;98.1;1.1;0.9
THU;2.02405E+11;7.4;0;6.7;97.3;0.9;0.8
THU;2.02405E+11;7.3;0;6.2;98.8;1;1
THU;2.02405E+11;7.1;0;5.8;99.2;1.1;1.1
THU;2.02405E+11;7.1;0;5.9;99.3;1.1;1
THU;2.02405E+11;6.9;0;5.4;99.3;1.8;1.8
THU;2.02405E+11;6.9;0;5.2;99.3;1.7;1.7
THU;2.02405E+11;6.9;0;5.2;99.3;1.5;1.4
THU;2.02405E+11;6.6;0;4.7;99.3;1.5;1.4
THU;2.02405E+11;6.6;0;4.8;99.3;1.4;1.4
THU;2.02405E+11;6.8;0;5.1;99.3;1.5;1.4
THU;2.02405E+11;6.9;0;5.2;99.3;2.1;2.1
THU;2.02405E+11;6.5;0;4.4;99.3;1.9;1.9
THU;2.02405E+11;6.4;0;4.2;99.3;1.2;1.1
THU;2.02405E+11;6.3;0;4.1;99.3;1.2;1.1
